name;role
Andre russel;BALL
Angelo Mathews;ALL
Babar Azam;BAT
Ben Stokes;ALL
Bhuvneshwar Kumar;BALL
Chris Morris;BALL
Chris Woakes;BALL
David Warner;BAT
Eoin Morgan (C) ;BAT
Faf du Plessis (C) ;BAT
Glenn Maxwell;ALL
Hasan Ali;BALL
Hardik Pandya;ALL
Imam-ul-Haq;BAT
Imran Tahir;BALL
Jason Holder (C) ;ALL
Jason Roy;BAT
Jasprit Bumrah;BALL
Joe Root;BAT
Jofra Archer;ALL
Jonny Bairstow;BAT
Jos Buttler (W);WK
Kagiso Rabada;BALL
Kane Williamson (C) ;BAT
Lockie Ferguson;BALL
Mahendra Sing Dhoni;WK
Mashrafe Mortaza (c) ;BALL
Mitchell Starc;BALL
Mohammad Saifuddin;ALL
Mujeeb Ur Rahman;BALL
Mustafizur Rahman;BALL
Quinton de Kock;WK
Rashid Khan;BALL
Rohit Sharma;BAT
Ross Taylor;BAT
Shakib Al Hasan;ALL
Shoaib Malik;BAT
Steve Smith;BAT
Tamim Iqbal;BAT
Tim Southee;BALL
Trent Boult;BALL
Virat Kohli (C) ;BAT
